"Age","Gender","PID","MusExp","Rating","Track","Experiment","Scale"
29,"Female","E1_S4","Nonmusician",2,"Sadness","Exp1","ANGER"
29,"Female","E1_S4","Nonmusician",2,"Sadness","Exp1","FEAR"
29,"Female","E1_S4","Nonmusician",1,"Sadness","Exp1","POWER"
29,"Female","E1_S4","Nonmusician",1,"Sadness","Exp1","SURPRISE"
29,"Female","E1_S4","Nonmusician",1,"Joy","Exp1","SADNESS"
29,"Female","E1_S4","Nonmusician",1,"Joy","Exp1","CALMNESS"
29,"Female","E1_S4","Nonmusician",5,"Joy","Exp1","JOY"
29,"Female","E1_S4","Nonmusician",1,"Joy","Exp1","ANGER"
29,"Female","E1_S4","Nonmusician",1,"Joy","Exp1","FEAR"
29,"Female","E1_S4","Nonmusician",5,"Joy","Exp1","POWER"
29,"Female","E1_S4","Nonmusician",2,"Joy","Exp1","SURPRISE"
29,"Female","E1_S4","Nonmusician",1,"Calmness","Exp1","SADNESS"
29,"Female","E1_S4","Nonmusician",5,"Calmness","Exp1","CALMNESS"
29,"Female","E1_S4","Nonmusician",2,"Calmness","Exp1","JOY"
29,"Female","E1_S4","Nonmusician",1,"Calmness","Exp1","ANGER"
29,"Female","E1_S4","Nonmusician",1,"Calmness","Exp1","FEAR"
29,"Female","E1_S4","Nonmusician",1,"Calmness","Exp1","POWER"
29,"Female","E1_S4","Nonmusician",1,"Calmness","Exp1","SURPRISE"
29,"Female","E1_S4","Nonmusician",2,"Anger","Exp1","SADNESS"
29,"Female","E1_S4","Nonmusician",3,"Anger","Exp1","CALMNESS"
29,"Female","E1_S4","Nonmusician",1,"Anger","Exp1","JOY"
29,"Female","E1_S4","Nonmusician",3,"Anger","Exp1","ANGER"
29,"Female","E1_S4","Nonmusician",3,"Anger","Exp1","FEAR"
29,"Female","E1_S4","Nonmusician",1,"Anger","Exp1","POWER"
29,"Female","E1_S4","Nonmusician",1,"Anger","Exp1","SURPRISE"
29,"Female","E1_S4","Nonmusician",1,"Fear","Exp1","SADNESS"
29,"Female","E1_S4","Nonmusician",2,"Fear","Exp1","CALMNESS"
29,"Female","E1_S4","Nonmusician",1,"Fear","Exp1","JOY"
29,"Female","E1_S4","Nonmusician",1,"Fear","Exp1","ANGER"
29,"Female","E1_S4","Nonmusician",2,"Fear","Exp1","FEAR"
29,"Female","E1_S4","Nonmusician",1,"Fear","Exp1","POWER"
29,"Female","E1_S4","Nonmusician",1,"Fear","Exp1","SURPRISE"
29,"Female","E1_S4","Nonmusician",1,"Power","Exp1","SADNESS"
29,"Female","E1_S4","Nonmusician",1,"Power","Exp1","CALMNESS"
29,"Female","E1_S4","Nonmusician",3,"Power","Exp1","JOY"
29,"Female","E1_S4","Nonmusician",1,"Power","Exp1","ANGER"
29,"Female","E1_S4","Nonmusician",1,"Power","Exp1","FEAR"
29,"Female","E1_S4","Nonmusician",4,"Power","Exp1","POWER"
29,"Female","E1_S4","Nonmusician",3,"Power","Exp1","SURPRISE"
29,"Female","E1_S4","Nonmusician",2,"Surprise","Exp1","SADNESS"
29,"Female","E1_S4","Nonmusician",4,"Surprise","Exp1","CALMNESS"
29,"Female","E1_S4","Nonmusician",2,"Surprise","Exp1","JOY"
29,"Female","E1_S4","Nonmusician",1,"Surprise","Exp1","ANGER"
29,"Female","E1_S4","Nonmusician",1,"Surprise","Exp1","FEAR"
29,"Female","E1_S4","Nonmusician",3,"Surprise","Exp1","POWER"
29,"Female","E1_S4","Nonmusician",1,"Surprise","Exp1","SURPRISE"
29,"Female","E2_S4","Nonmusician",5,"Sadness","Exp2","SADNESS"
29,"Female","E2_S4","Nonmusician",3,"Sadness","Exp2","CALMNESS"
29,"Female","E2_S4","Nonmusician",1,"Sadness","Exp2","JOY"
29,"Female","E2_S4","Nonmusician",2,"Sadness","Exp2","ANGER"
29,"Female","E2_S4","Nonmusician",3,"Sadness","Exp2","FEAR"
29,"Female","E2_S4","Nonmusician",1,"Sadness","Exp2","POWER"
29,"Female","E2_S4","Nonmusician",1,"Sadness","Exp2","SURPRISE"
29,"Female","E2_S4","Nonmusician",1,"Joy","Exp2","SADNESS"
29,"Female","E2_S4","Nonmusician",1,"Joy","Exp2","CALMNESS"
29,"Female","E2_S4","Nonmusician",5,"Joy","Exp2","JOY"
29,"Female","E2_S4","Nonmusician",1,"Joy","Exp2","ANGER"
29,"Female","E2_S4","Nonmusician",1,"Joy","Exp2","FEAR"
29,"Female","E2_S4","Nonmusician",4,"Joy","Exp2","POWER"
29,"Female","E2_S4","Nonmusician",3,"Joy","Exp2","SURPRISE"
29,"Female","E2_S4","Nonmusician",1,"Calmness","Exp2","SADNESS"
29,"Female","E2_S4","Nonmusician",5,"Calmness","Exp2","CALMNESS"
29,"Female","E2_S4","Nonmusician",2,"Calmness","Exp2","JOY"
29,"Female","E2_S4","Nonmusician",1,"Calmness","Exp2","ANGER"
29,"Female","E2_S4","Nonmusician",1,"Calmness","Exp2","FEAR"
29,"Female","E2_S4","Nonmusician",2,"Calmness","Exp2","POWER"
29,"Female","E2_S4","Nonmusician",1,"Calmness","Exp2","SURPRISE"
29,"Female","E2_S4","Nonmusician",2,"Anger","Exp2","SADNESS"
29,"Female","E2_S4","Nonmusician",1,"Anger","Exp2","CALMNESS"
29,"Female","E2_S4","Nonmusician",1,"Anger","Exp2","JOY"
29,"Female","E2_S4","Nonmusician",3,"Anger","Exp2","ANGER"
29,"Female","E2_S4","Nonmusician",4,"Anger","Exp2","FEAR"
29,"Female","E2_S4","Nonmusician",1,"Anger","Exp2","POWER"
29,"Female","E2_S4","Nonmusician",1,"Anger","Exp2","SURPRISE"
29,"Female","E2_S4","Nonmusician",1,"Fear","Exp2","SADNESS"
29,"Female","E2_S4","Nonmusician",3,"Fear","Exp2","CALMNESS"
29,"Female","E2_S4","Nonmusician",3,"Fear","Exp2","JOY"
29,"Female","E2_S4","Nonmusician",1,"Fear","Exp2","ANGER"
29,"Female","E2_S4","Nonmusician",1,"Fear","Exp2","FEAR"
29,"Female","E2_S4","Nonmusician",3,"Fear","Exp2","POWER"
29,"Female","E2_S4","Nonmusician",2,"Fear","Exp2","SURPRISE"
29,"Female","E2_S4","Nonmusician",1,"Power","Exp2","SADNESS"
29,"Female","E2_S4","Nonmusician",3,"Power","Exp2","CALMNESS"
29,"Female","E2_S4","Nonmusician",2,"Power","Exp2","JOY"
29,"Female","E2_S4","Nonmusician",1,"Power","Exp2","ANGER"
